"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000002834",7180.47617395116,0.397267696142406,0.0980856554812856,4.05021197231233,5.11712588825926e-05,0.000782952214410552
"ENSG00000002919",250.925385453661,0.389969769198087,0.144863088564156,2.69198850489357,0.00710273933539799,0.0448219959826145
"ENSG00000003096",378.674261561622,-0.921434329318797,0.186688224280454,-4.93568532707541,7.9869795639196e-07,2.03253224748292e-05
"ENSG00000003402",2550.32270453256,1.18227970986194,0.160758037652284,7.35440496243917,1.91779495963932e-13,2.08189994605909e-11
"ENSG00000003987",25.5441482466157,0.987096277722682,0.331305438283434,2.97941465385249,0.00288799669862391,0.0222428915019296
"ENSG00000004059",1227.25894806701,0.368012910315858,0.0987374980275762,3.72718488585843,0.00019363042068918,0.00244022702105865
"ENSG00000004487",1239.87053026802,-0.300048395487304,0.0764959409980066,-3.92240936672866,8.76678753063837e-05,0.00123759621173259
"ENSG00000004700",1037.0485080802,0.365352675000094,0.113198551518082,3.22753842783698,0.00124860268884856,0.0114989081045214
"ENSG00000004799",916.256499527376,2.5427900150857,0.902006006127446,2.8190388953202,0.00481676810349651,0.0330733412774909
"ENSG00000004866",412.864913891949,-0.5836387717004,0.17728339667363,-3.29212313533708,0.000994340652716353,0.0095278943437938
"ENSG00000005007",2265.6514106341,0.240268740591659,0.0785392055345132,3.05922041044934,0.00221913816699651,0.0182030883980508
"ENSG00000005100",485.949431003107,0.369972728822759,0.129339263209753,2.86048273077575,0.00422996590027302,0.029906172762359
"ENSG00000005249",298.561612560407,0.646355820517828,0.21759532747935,2.9704489889801,0.00297364786265216,0.0227594860063408
"ENSG00000005471",33.7335978784173,-1.21896889468553,0.448214635720752,-2.71960975287066,0.00653590010088946,0.0419707070499648
"ENSG00000005812",1411.78490884651,0.472646015879408,0.165641435196924,2.85342864433347,0.0043250239696721,0.0304277322099327
"ENSG00000006025",160.596025852109,-0.930497979933942,0.254655182201868,-3.65395265821187,0.000258233902277071,0.00311697951573281
"ENSG00000006114",997.549803943074,-0.515930727955162,0.0966768016858639,-5.33665490539911,9.46769891351826e-08,3.03532657504047e-06
"ENSG00000006451",1097.31592528591,-0.581420157591163,0.190111549897496,-3.05831054401824,0.00222588776955521,0.0182410067001485
"ENSG00000006607",879.420952620531,0.596720876737744,0.172949758875586,3.45025561537211,0.000560055986299537,0.00593786091270025
"ENSG00000006788",10.2628039789486,3.16916030440629,1.12863959483359,2.80794712405386,0.00498584124735564,0.0340015504229859
"ENSG00000006831",1095.77715777778,0.239478656895149,0.0758109889123132,3.15889108335128,0.00158370665051949,0.0138378688077994
"ENSG00000007866",1622.1619035234,0.595580322241684,0.160015160338563,3.72202434432803,0.000197631963392421,0.00248153985073704
"ENSG00000007944",340.215527001202,-0.501619165415592,0.142776115581766,-3.51332688504416,0.000442532679487255,0.00490965104693751
"ENSG00000008083",301.708981757942,0.450765927146753,0.1368581092296,3.29367349647163,0.000988872924864731,0.00948079843894906
"ENSG00000008130",1667.2065802808,0.792952513687448,0.142890803278068,5.54936003924862,2.86717177327445e-08,1.06445303582691e-06
"ENSG00000008256",3722.0531363226,1.20316133857587,0.203197915305853,5.92113032638587,3.19736344814378e-09,1.45854196442984e-07
"ENSG00000008311",723.124124577144,1.10664786355488,0.168607352725364,6.56346147227303,5.25728235004981e-11,3.71081921267714e-09
"ENSG00000008513",1570.87349368866,-0.577536812530594,0.21276755505176,-2.71440263714125,0.0066395414014406,0.0424869584836384
"ENSG00000008710",5434.96082702805,0.490078746224438,0.177349543444325,2.76334935352278,0.0057211495192298,0.0377565050226355
"ENSG00000008853",559.442333718052,0.565694430163608,0.174828743570823,3.23570608933906,0.00121342255295906,0.0112561512322086
