"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044282","GO:0044282","small molecule catabolic process","63/2281","394/21288",0.15989847715736,1.4922923199149,3.41683070856632,0.000784719174346229,0.0129623982132747,0.0101613594004733,"ENSG00000008311/ENSG00000019186/ENSG00000023697/ENSG00000025423/ENSG00000074660/ENSG00000078070/ENSG00000083720/ENSG00000093144/ENSG00000093217/ENSG00000100033/ENSG00000100116/ENSG00000100577/ENSG00000103150/ENSG00000103485/ENSG00000103876/ENSG00000104951/ENSG00000105552/ENSG00000105607/ENSG00000110090/ENSG00000113552/ENSG00000115419/ENSG00000116171/ENSG00000119711/ENSG00000122971/ENSG00000124357/ENSG00000128039/ENSG00000128309/ENSG00000128311/ENSG00000130766/ENSG00000131446/ENSG00000131844/ENSG00000132199/ENSG00000133835/ENSG00000134324/ENSG00000135821/ENSG00000137124/ENSG00000139410/ENSG00000140374/ENSG00000143891/ENSG00000146416/ENSG00000147576/ENSG00000148672/ENSG00000153904/ENSG00000158125/ENSG00000158201/ENSG00000159423/ENSG00000160200/ENSG00000162066/ENSG00000164039/ENSG00000166123/ENSG00000168306/ENSG00000169047/ENSG00000169738/ENSG00000171097/ENSG00000174697/ENSG00000176974/ENSG00000183044/ENSG00000185950/ENSG00000196371/ENSG00000197217/ENSG00000198018/ENSG00000213930/ENSG00000272325",63
"GO:0006109","GO:0006109","regulation of carbohydrate metabolic process","36/2281","195/21288",0.184615384615385,1.72296900819479,3.51342668358277,0.000801809470720742,0.0132097581403175,0.0103552674318885,"ENSG00000004799/ENSG00000069667/ENSG00000080493/ENSG00000080815/ENSG00000089041/ENSG00000095637/ENSG00000100644/ENSG00000103150/ENSG00000106617/ENSG00000108262/ENSG00000113580/ENSG00000123213/ENSG00000128989/ENSG00000130766/ENSG00000131871/ENSG00000132356/ENSG00000132376/ENSG00000137331/ENSG00000150907/ENSG00000158122/ENSG00000159346/ENSG00000164850/ENSG00000166741/ENSG00000168610/ENSG00000169047/ENSG00000171132/ENSG00000171163/ENSG00000172531/ENSG00000173918/ENSG00000174697/ENSG00000178567/ENSG00000185532/ENSG00000185950/ENSG00000196961/ENSG00000197594/ENSG00000198793",36
"GO:1901342","GO:1901342","regulation of vasculature development","63/2281","395/21288",0.159493670886076,1.48851436467461,3.39499054904647,0.000838160455642192,0.0137473163429503,0.0107766649237531,"ENSG00000012048/ENSG00000031698/ENSG00000064393/ENSG00000067900/ENSG00000072134/ENSG00000092969/ENSG00000100292/ENSG00000100644/ENSG00000102760/ENSG00000105855/ENSG00000106211/ENSG00000106991/ENSG00000107562/ENSG00000110492/ENSG00000112715/ENSG00000113140/ENSG00000114209/ENSG00000118503/ENSG00000119630/ENSG00000120899/ENSG00000121753/ENSG00000126016/ENSG00000126458/ENSG00000126785/ENSG00000128165/ENSG00000132170/ENSG00000133639/ENSG00000134318/ENSG00000134871/ENSG00000135048/ENSG00000135821/ENSG00000136158/ENSG00000136235/ENSG00000136830/ENSG00000137801/ENSG00000139567/ENSG00000140105/ENSG00000143494/ENSG00000143878/ENSG00000145632/ENSG00000147649/ENSG00000148848/ENSG00000148926/ENSG00000150630/ENSG00000153904/ENSG00000154734/ENSG00000157613/ENSG00000159216/ENSG00000163513/ENSG00000164619/ENSG00000166484/ENSG00000168610/ENSG00000169031/ENSG00000169057/ENSG00000170365/ENSG00000171608/ENSG00000171819/ENSG00000173039/ENSG00000174697/ENSG00000183287/ENSG00000184304/ENSG00000186340/ENSG00000213853",63
"GO:2000628","GO:2000628","regulation of miRNA metabolic process","23/2281","107/21288",0.214953271028037,2.00610488103676,3.61430667697222,0.000838841692290848,0.0137473163429503,0.0107766649237531,"ENSG00000056586/ENSG00000072310/ENSG00000091831/ENSG00000092969/ENSG00000100644/ENSG00000100968/ENSG00000102554/ENSG00000112658/ENSG00000112715/ENSG00000113580/ENSG00000118689/ENSG00000125398/ENSG00000131408/ENSG00000132170/ENSG00000136997/ENSG00000166949/ENSG00000168610/ENSG00000170365/ENSG00000173039/ENSG00000177606/ENSG00000186260/ENSG00000187079/ENSG00000196588",23
"GO:0051962","GO:0051962","positive regulation of nervous system development","54/2281","327/21288",0.165137614678899,1.54118787430268,3.41648108046809,0.000846129325745422,0.0138304489789383,0.0108418334657377,"ENSG00000004487/ENSG00000018189/ENSG00000028137/ENSG00000044090/ENSG00000064309/ENSG00000065526/ENSG00000100644/ENSG00000103257/ENSG00000105186/ENSG00000105989/ENSG00000106571/ENSG00000106615/ENSG00000107562/ENSG00000108684/ENSG00000108830/ENSG00000110492/ENSG00000112531/ENSG00000112658/ENSG00000112715/ENSG00000116106/ENSG00000122877/ENSG00000124006/ENSG00000125848/ENSG00000128342/ENSG00000129245/ENSG00000133216/ENSG00000134259/ENSG00000138311/ENSG00000140511/ENSG00000143320/ENSG00000146006/ENSG00000146242/ENSG00000148400/ENSG00000149256/ENSG00000150630/ENSG00000157368/ENSG00000158301/ENSG00000164050/ENSG00000164850/ENSG00000169032/ENSG00000169057/ENSG00000169855/ENSG00000171603/ENSG00000173039/ENSG00000173114/ENSG00000174804/ENSG00000175928/ENSG00000179242/ENSG00000182580/ENSG00000184564/ENSG00000186340/ENSG00000187109/ENSG00000198793/ENSG00000244405",54
"GO:0048565","GO:0048565","digestive tract development","30/2281","154/21288",0.194805194805195,1.81806794695878,3.52957139403191,0.000865104220016092,0.0141036834197924,0.0110560247988864,"ENSG00000008710/ENSG00000057657/ENSG00000066468/ENSG00000074047/ENSG00000078699/ENSG00000092969/ENSG00000099139/ENSG00000100644/ENSG00000102554/ENSG00000106571/ENSG00000124762/ENSG00000125398/ENSG00000134853/ENSG00000135541/ENSG00000137273/ENSG00000137693/ENSG00000138002/ENSG00000138686/ENSG00000139687/ENSG00000145431/ENSG00000148400/ENSG00000162878/ENSG00000163251/ENSG00000166341/ENSG00000166949/ENSG00000168542/ENSG00000176890/ENSG00000182197/ENSG00000182580/ENSG00000205213",30
"GO:0034198","GO:0034198","cellular response to amino acid starvation","14/2281","52/21288",0.269230769230769,2.51266313695073,3.78329862239367,0.000873327801922504,0.0142006739458441,0.0111320566856898,"ENSG00000085415/ENSG00000097033/ENSG00000101460/ENSG00000102882/ENSG00000111203/ENSG00000112561/ENSG00000124762/ENSG00000130766/ENSG00000134294/ENSG00000149212/ENSG00000162772/ENSG00000184304/ENSG00000197442/ENSG00000198793",14
"GO:0061008","GO:0061008","hepaticobiliary system development","31/2281","161/21288",0.192546583850932,1.79698889829839,3.51648993845774,0.000877262196145834,0.0142275977993106,0.0111531625757433,"ENSG00000003402/ENSG00000008083/ENSG00000008710/ENSG00000019991/ENSG00000072163/ENSG00000103257/ENSG00000106462/ENSG00000110090/ENSG00000110492/ENSG00000116285/ENSG00000118503/ENSG00000118762/ENSG00000121879/ENSG00000125398/ENSG00000126767/ENSG00000128309/ENSG00000132646/ENSG00000135111/ENSG00000136877/ENSG00000141458/ENSG00000147883/ENSG00000148400/ENSG00000153879/ENSG00000162998/ENSG00000164171/ENSG00000164442/ENSG00000165240/ENSG00000165891/ENSG00000166949/ENSG00000173039/ENSG00000176890",31
"GO:1903828","GO:1903828","negative regulation of protein localization","42/2281","239/21288",0.175732217573222,1.64006464169169,3.44722903027538,0.000884073820868043,0.0143009247085494,0.0112106443060715,"ENSG00000046653/ENSG00000049759/ENSG00000069329/ENSG00000072310/ENSG00000076513/ENSG00000078804/ENSG00000090565/ENSG00000103647/ENSG00000107362/ENSG00000107882/ENSG00000123612/ENSG00000131507/ENSG00000132376/ENSG00000134318/ENSG00000134321/ENSG00000135272/ENSG00000135926/ENSG00000136379/ENSG00000136999/ENSG00000147324/ENSG00000148219/ENSG00000150594/ENSG00000150907/ENSG00000153823/ENSG00000154813/ENSG00000156675/ENSG00000162878/ENSG00000163083/ENSG00000163818/ENSG00000166963/ENSG00000168811/ENSG00000169047/ENSG00000171033/ENSG00000171135/ENSG00000173548/ENSG00000179222/ENSG00000179295/ENSG00000180667/ENSG00000187446/ENSG00000198793/ENSG00000198833/ENSG00000213625",42
"GO:0106027","GO:0106027","neuron projection organization","22/2281","101/21288",0.217821782178218,2.0328759750153,3.60443513724481,0.000893672357061948,0.0144188377196248,0.0113030775474991,"ENSG00000069329/ENSG00000080815/ENSG00000100600/ENSG00000107362/ENSG00000111859/ENSG00000115183/ENSG00000116106/ENSG00000132535/ENSG00000133216/ENSG00000138311/ENSG00000139220/ENSG00000140443/ENSG00000143761/ENSG00000158301/ENSG00000163110/ENSG00000166963/ENSG00000170921/ENSG00000171862/ENSG00000172757/ENSG00000182580/ENSG00000197959/ENSG00000198954",22
"GO:0035886","GO:0035886","vascular associated smooth muscle cell differentiation","12/2281","41/21288",0.292682926829268,2.73153623250393,3.84448161518034,0.000900265667400012,0.0144713957121315,0.0113442783069914,"ENSG00000100968/ENSG00000105664/ENSG00000106991/ENSG00000112531/ENSG00000112658/ENSG00000112715/ENSG00000116761/ENSG00000148400/ENSG00000148926/ENSG00000150593/ENSG00000163069/ENSG00000164850",12
"GO:1904659","GO:1904659","glucose transmembrane transport","27/2281","134/21288",0.201492537313433,1.88047923469021,3.54191677685909,0.000901565171687883,0.0144713957121315,0.0113442783069914,"ENSG00000054277/ENSG00000068305/ENSG00000070371/ENSG00000095637/ENSG00000101255/ENSG00000106617/ENSG00000112062/ENSG00000119508/ENSG00000128989/ENSG00000130766/ENSG00000131871/ENSG00000132376/ENSG00000134243/ENSG00000145675/ENSG00000146411/ENSG00000153823/ENSG00000162426/ENSG00000163069/ENSG00000163884/ENSG00000166263/ENSG00000167114/ENSG00000169047/ENSG00000174697/ENSG00000179295/ENSG00000185950/ENSG00000197496/ENSG00000197594",27
